Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100501,PIT,NL,24,LAN,NL,24,1,5,51,LOS03,40483,30,6,2,0,1,1,1,0,2,2,0,8,0,1,1,0,7,3,5,5,0,0,24,7,0,0,0,0,35,11,5,0,1,5,0,0,0,2,0,7,0,0,0,0,8,4,1,1,0,0,27,11,0,0,1,0,ortir002,dukez001,,dukez001,monac001,,0.24,0.3333333333333333,0.29411764705882354,0.35135135135135137,0.36666666666666664,0.5428571428571428,0.6607843137254902,0.8942084942084942,1.0
20100502,PIT,NL,25,LAN,NL,25,3,9,51,LOS03,39339,34,8,3,0,0,3,0,0,0,2,0,3,1,0,0,0,6,3,9,9,0,0,24,12,0,0,0,0,37,16,4,1,2,9,1,0,0,2,0,6,0,1,0,0,7,3,3,3,1,0,27,13,0,0,1,0,kuroh001,karsj001,,karsj001,kuroh001,,0.25,0.47058823529411764,0.2777777777777778,0.46153846153846156,0.3235294117647059,0.7567567567567568,0.6013071895424837,1.2182952182952185,1.0
20100504,MIL,NL,26,LAN,NL,26,11,6,54,LOS03,50714,41,15,2,1,2,11,0,0,2,3,0,7,0,0,1,0,8,4,6,6,0,0,27,9,0,0,0,0,32,7,2,0,1,6,0,2,0,2,0,6,0,0,0,0,3,4,11,11,1,0,27,12,0,0,1,0,narvc001,kersc001,,narvc001,kersc001,,0.4166666666666667,0.25,0.43478260869565216,0.25,0.6097560975609756,0.375,1.0445387062566278,0.625,0.0
20100505,MIL,NL,27,LAN,NL,27,11,3,54,LOS03,35659,39,13,2,1,0,10,1,0,1,7,1,5,1,1,0,0,10,5,3,3,2,0,27,12,0,0,2,0,37,12,0,0,0,3,0,0,1,4,1,9,0,0,2,0,12,4,11,11,0,0,27,11,2,1,1,0,david002,billc001,,david002,billc001,,0.4482758620689655,0.3870967741935484,0.44680851063829785,0.40476190476190477,0.4358974358974359,0.32432432432432434,0.8827059465357338,0.7290862290862291,0.0
20100506,MIL,NL,28,LAN,NL,28,3,7,52,LOS03,38456,35,8,0,0,0,3,0,0,0,0,0,12,1,0,0,0,5,4,5,5,1,0,25,9,1,0,2,0,31,8,2,0,1,6,0,1,0,7,0,7,1,0,2,0,7,4,3,3,1,0,27,6,0,0,0,0,broxj001,hawkl001,,bushd001,ely-j001,,0.22857142857142856,0.34782608695652173,0.22857142857142856,0.38461538461538464,0.22857142857142856,0.41935483870967744,0.4571428571428571,0.8039702233250621,1.0
20100507,COL,NL,29,LAN,NL,29,5,6,51,LOS03,40567,33,11,1,1,0,5,0,3,0,7,2,7,1,1,1,0,11,5,5,5,1,0,24,10,1,0,0,0,33,9,4,1,0,6,1,0,0,2,0,7,2,0,0,0,6,5,4,4,0,0,27,12,1,0,1,0,weavj002,dalem002,broxj001,rogee002,kuroh001,,0.5238095238095238,0.3,0.4186046511627907,0.3142857142857143,0.42424242424242425,0.45454545454545453,0.842847075405215,0.7688311688311689,1.0
20100508,COL,NL,30,LAN,NL,30,8,0,54,LOS03,42287,38,11,0,1,1,8,1,0,0,5,0,10,0,0,0,0,9,3,0,0,0,0,27,8,0,0,1,0,33,7,1,0,0,0,0,0,1,2,0,7,0,0,1,0,9,5,8,8,0,0,27,9,2,0,0,0,chacj001,haegc001,,chacj001,haegc001,,0.34375,0.23333333333333334,0.37209302325581395,0.2777777777777778,0.42105263157894735,0.24242424242424243,0.7931456548347613,0.5202020202020202,0.0
20100509,COL,NL,31,LAN,NL,31,0,2,51,LOS03,40718,30,4,0,0,0,0,0,0,0,3,0,10,0,0,0,0,6,2,2,2,0,0,24,14,0,0,1,0,24,3,1,0,1,2,0,0,1,4,0,7,0,2,0,0,3,2,0,0,0,0,27,7,0,0,0,0,kersc001,jimeu001,broxj001,jimeu001,kersc001,,0.14814814814814814,0.15789473684210525,0.21212121212121213,0.27586206896551724,0.13333333333333333,0.2916666666666667,0.34545454545454546,0.5675287356321839,1.0
20100510,LAN,NL,32,ARI,NL,33,7,3,54,PHO01,19863,38,11,2,0,1,7,0,0,0,6,1,3,0,0,0,0,10,4,3,3,1,0,27,10,0,0,2,0,30,4,2,0,1,3,0,0,0,6,0,12,0,0,1,0,6,3,7,7,0,0,27,7,0,0,0,0,billc001,loper001,,billc001,loper001,,0.3548387096774194,0.16666666666666666,0.38636363636363635,0.2777777777777778,0.42105263157894735,0.3,0.8074162679425837,0.5777777777777777,1.0
20100511,LAN,NL,33,ARI,NL,34,13,3,54,PHO01,21030,43,17,6,0,1,13,1,1,1,5,0,10,1,0,0,0,11,5,3,3,0,0,27,6,0,0,0,0,35,8,1,0,0,3,0,0,0,0,0,8,1,0,0,0,5,5,11,11,0,0,27,12,1,0,0,0,ely-j001,hared001,,ely-j001,hared001,,0.4857142857142857,0.22857142857142856,0.46,0.22857142857142856,0.6046511627906976,0.2571428571428571,1.0646511627906976,0.4857142857142857,1.0
