teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
BAL,AL,4,1,33,12,2,0,0,4,3,6,11,3,1,1,1,0.36363636363636365,0.38461538461538464,0.42424242424242425,0.8088578088578089,1.0
BAL,AL,5,1,32,10,2,0,2,5,0,6,4,5,4,4,0,0.3125,0.30303030303030304,0.5625,0.865530303030303,1.0
BAL,AL,10,0,39,11,2,0,2,10,6,7,8,4,4,4,1,0.28205128205128205,0.37777777777777777,0.48717948717948717,0.864957264957265,1.0
BAL,AL,6,0,34,6,1,0,1,4,3,8,6,3,2,2,0,0.17647058823529413,0.2564102564102564,0.29411764705882354,0.55052790346908,1.0
BAL,AL,6,0,34,8,1,1,2,6,2,10,4,4,4,4,0,0.23529411764705882,0.2777777777777778,0.5,0.7777777777777778,1.0
BAL,AL,2,0,36,11,2,0,1,2,5,9,13,3,6,6,0,0.3055555555555556,0.40476190476190477,0.4444444444444444,0.8492063492063492,0.0
BAL,AL,5,0,38,10,0,0,1,5,4,10,8,5,5,5,2,0.2631578947368421,0.32558139534883723,0.34210526315789475,0.667686658506732,0.0
BAL,AL,3,0,34,10,1,0,1,3,4,5,11,4,2,2,1,0.29411764705882354,0.3902439024390244,0.4117647058823529,0.8020086083213773,1.0
BAL,AL,1,0,32,5,0,0,0,1,2,5,6,3,9,9,0,0.15625,0.20588235294117646,0.15625,0.3621323529411765,0.0
BAL,AL,2,1,30,5,3,0,1,2,3,6,4,5,6,6,1,0.16666666666666666,0.24242424242424243,0.36666666666666664,0.6090909090909091,0.0
BAL,AL,2,1,30,5,1,0,0,2,10,7,12,5,8,8,1,0.16666666666666666,0.36585365853658536,0.2,0.5658536585365854,0.0
BAL,AL,3,1,31,6,3,0,1,3,5,5,9,5,5,5,0,0.1935483870967742,0.34210526315789475,0.3870967741935484,0.7292020373514432,0.0
BAL,AL,7,1,53,20,3,0,1,7,6,11,16,6,6,6,0,0.37735849056603776,0.4406779661016949,0.49056603773584906,0.931244003837544,1.0
BAL,AL,4,1,30,10,0,1,0,4,3,6,7,4,2,2,0,0.3333333333333333,0.4,0.4,0.8,1.0
BAL,AL,0,0,30,4,1,0,0,0,1,3,4,1,3,3,0,0.13333333333333333,0.16129032258064516,0.16666666666666666,0.3279569892473118,0.0
BAL,AL,6,0,36,11,3,0,2,6,6,8,10,1,0,0,2,0.3055555555555556,0.40476190476190477,0.5555555555555556,0.9603174603174603,1.0
