,teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
71,CHN,NL,1,1,34,7,2,0,0,1,0,5,7,5,2,2,0,0.205882353,0.228571429,0.264705882,0.493277311,0
72,CHN,NL,3,1,30,8,3,0,2,3,2,4,6,3,1,1,0,0.266666667,0.303030303,0.566666667,0.86969697,1
73,CHN,NL,0,1,30,5,1,0,0,0,1,8,5,5,0,0,1,0.166666667,0.21875,0.2,0.41875,0
74,CHN,NL,2,1,31,5,0,0,0,2,4,5,5,6,3,3,0,0.161290323,0.257142857,0.161290323,0.41843318,0
75,CHN,NL,0,1,29,2,0,0,0,0,3,8,5,5,9,4,1,0.068965517,0.15625,0.068965517,0.225215517,0
76,CHN,NL,3,1,32,10,4,0,0,3,9,6,17,2,1,1,1,0.3125,0.476190476,0.4375,0.913690476,1
77,CHN,NL,9,0,35,11,2,1,2,9,2,8,3,6,4,4,0,0.314285714,0.368421053,0.6,0.968421053,1
78,CHN,NL,6,0,36,11,3,1,3,6,3,10,6,3,3,3,1,0.305555556,0.358974359,0.694444444,1.053418803,1
79,CHN,NL,8,0,38,10,1,0,1,8,4,5,8,5,3,3,1,0.263157895,0.348837209,0.368421053,0.717258262,1
80,CHN,NL,2,0,32,8,1,0,1,2,0,13,3,2,3,3,1,0.25,0.25,0.375,0.625,0
81,CHN,NL,7,0,37,11,2,1,0,6,4,13,8,4,7,7,1,0.297297297,0.357142857,0.405405405,0.762548263,0
82,CHN,NL,7,0,33,9,0,0,2,7,4,9,5,5,2,2,2,0.272727273,0.368421053,0.454545455,0.822966507,1
83,CHN,NL,0,0,30,4,3,0,0,0,1,6,5,6,7,7,0,0.133333333,0.1875,0.233333333,0.420833333,0
84,CHN,NL,12,1,39,16,4,1,3,11,1,4,7,5,6,6,0,0.41025641,0.465116279,0.794871795,1.259988074,1
85,CHN,NL,4,1,29,6,1,0,2,4,3,8,4,3,3,3,0,0.206896552,0.28125,0.448275862,0.729525862,1
86,CHN,NL,1,1,33,9,2,0,0,1,4,8,9,5,4,4,1,0.272727273,0.351351351,0.333333333,0.684684685,0
87,CHN,NL,11,1,35,14,1,0,2,10,1,5,4,3,5,5,1,0.4,0.447368421,0.6,1.047368421,1
88,CHN,NL,5,1,33,10,4,0,2,5,1,3,3,4,11,11,2,0.303030303,0.314285714,0.606060606,0.92034632,0
89,CHN,NL,14,1,38,14,2,0,4,13,3,9,5,4,4,4,1,0.368421053,0.428571429,0.736842105,1.165413534,1
90,CHN,NL,3,1,47,12,2,0,1,3,7,11,16,8,4,4,0,0.255319149,0.351851852,0.361702128,0.71355398,0
91,CHN,NL,5,1,31,10,0,0,3,5,3,2,7,2,0,0,1,0.322580645,0.382352941,0.612903226,0.995256167,1
92,CHN,NL,6,1,31,9,2,0,2,4,4,9,5,4,5,5,1,0.290322581,0.371428571,0.548387097,0.919815668,1
93,CHN,NL,5,0,38,13,5,1,1,5,1,7,8,5,2,2,1,0.342105263,0.358974359,0.605263158,0.964237517,1
94,CHN,NL,1,0,31,4,1,0,1,1,1,12,4,3,6,6,0,0.129032258,0.15625,0.258064516,0.414314516,0
95,CHN,NL,1,0,32,7,0,0,0,1,4,9,9,5,8,8,0,0.21875,0.297297297,0.21875,0.516047297,0
96,CHN,NL,2,0,30,4,0,1,0,2,2,11,3,6,17,17,0,0.133333333,0.1875,0.2,0.3875,0
97,CHN,NL,5,0,32,7,1,0,1,5,0,6,2,3,6,6,0,0.21875,0.212121212,0.34375,0.555871212,0
98,CHN,NL,7,0,38,12,2,1,1,7,4,7,9,6,6,6,1,0.315789474,0.372093023,0.5,0.872093023,0
99,CHN,NL,1,1,31,4,4,0,0,1,1,14,4,4,14,14,2,0.129032258,0.15625,0.258064516,0.414314516,0
100,CHN,NL,3,1,37,11,3,0,1,3,2,10,9,5,4,4,0,0.297297297,0.333333333,0.459459459,0.792792793,0
101,CHN,NL,15,1,39,16,2,1,4,15,4,9,5,4,0,0,3,0.41025641,0.477272727,0.820512821,1.297785548,1
102,CHN,NL,0,1,30,5,0,0,0,0,3,9,7,3,3,3,0,0.166666667,0.242424242,0.166666667,0.409090909,0
103,CHN,NL,3,1,30,6,2,0,0,3,9,6,11,4,3,3,1,0.2,0.390243902,0.266666667,0.656910569,0
104,CHN,NL,3,0,44,11,2,0,0,3,3,11,12,6,4,4,1,0.25,0.29787234,0.295454545,0.593326886,0
105,CHN,NL,8,0,39,14,1,0,1,8,1,8,7,4,3,3,4,0.358974359,0.390243902,0.461538462,0.851782364,1
106,CHN,NL,4,0,36,11,2,0,2,4,1,8,7,3,5,5,0,0.305555556,0.342105263,0.527777778,0.869883041,0
107,CHN,NL,7,0,40,14,4,0,0,7,3,11,9,5,7,7,1,0.35,0.395348837,0.45,0.845348837,0
108,CHN,NL,3,0,34,7,2,0,1,3,1,5,5,3,5,5,2,0.205882353,0.228571429,0.352941176,0.581512605,0
109,CHN,NL,3,0,32,7,2,0,2,3,1,5,3,4,2,2,1,0.21875,0.242424242,0.46875,0.711174242,1
110,CHN,NL,9,0,38,12,3,0,2,8,3,7,6,5,7,7,0,0.315789474,0.380952381,0.552631579,0.93358396,1
111,CHN,NL,5,1,36,10,3,0,1,5,2,9,6,4,9,9,0,0.277777778,0.315789474,0.444444444,0.760233918,0
112,CHN,NL,0,1,30,6,1,0,0,0,4,5,7,3,1,1,2,0.2,0.294117647,0.233333333,0.52745098,0
113,CHN,NL,1,1,34,7,3,0,0,1,2,4,8,6,5,5,0,0.205882353,0.25,0.294117647,0.544117647,0
114,CHN,NL,3,1,34,7,2,0,0,3,1,12,5,5,5,5,0,0.205882353,0.228571429,0.264705882,0.493277311,0
115,CHN,NL,3,1,35,10,2,1,1,3,1,4,6,2,5,5,0,0.285714286,0.305555556,0.485714286,0.791269841,0
116,CHN,NL,5,1,33,10,1,0,0,5,4,9,8,4,4,4,1,0.303030303,0.378378378,0.333333333,0.711711712,1
117,CHN,NL,9,0,39,15,4,1,1,9,6,10,12,3,1,1,1,0.384615385,0.479166667,0.615384615,1.094551282,1
