Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20140429,SDN,NL,28,SFN,NL,27,0,6,51,SFO03,41952,0,20301000x,29,3,1,0,0,0,0,0,0,0,0,6,0,0,1,0,2,3,5,5,0,0,24,14,1,2,1,0,32,9,1,0,2,6,0,1,1,2,1,3,0,0,1,0,6,3,0,0,0,0,27,11,0,0,1,0,petiy001,stule002,,stule002,petiy001
20140430,SDN,NL,29,SFN,NL,28,2,3,51,SFO03,42164,11,11000010x,32,5,2,0,1,2,0,0,0,0,0,6,1,0,0,0,3,2,3,3,0,0,24,8,0,0,1,0,32,10,2,1,1,3,1,0,0,1,0,8,1,0,1,0,7,2,2,2,0,0,27,13,0,0,0,0,hudst001,erlir001,romos001,erlir001,hudst001
20140502,SFN,NL,29,ATL,NL,28,2,1,54,ATL02,29469,100001000,10000,32,8,0,0,2,2,2,0,0,2,0,9,0,0,1,0,7,4,1,1,1,0,27,7,0,0,0,0,35,8,0,0,0,1,0,0,0,5,0,8,2,0,0,0,12,5,2,2,0,0,27,13,0,0,1,0,linct001,minom001,romos001,linct001,minom001
20140503,SFN,NL,30,ATL,NL,29,3,1,54,ATL02,34648,10100100,1000000,31,4,0,0,3,3,0,0,0,1,0,8,0,0,0,0,2,4,1,1,0,0,27,14,1,0,3,0,30,5,2,0,0,1,0,0,0,5,0,7,1,1,2,0,7,3,3,3,0,0,27,8,0,0,0,0,voger001,tehej001,romos001,voger001,tehej001
20140504,SFN,NL,31,ATL,NL,30,4,1,54,ATL02,30067,100100020,1000000,36,10,1,0,2,4,0,0,1,4,1,10,1,0,1,0,10,5,0,0,0,0,27,6,1,0,0,0,30,4,0,0,0,1,1,1,0,2,0,11,1,0,0,0,6,5,4,4,2,0,27,4,0,0,1,0,bumgm001,wooda002,garcj002,bumgm001,wooda002
20140505,SFN,NL,32,PIT,NL,32,11,10,78,PIT08,13675,2.00005E+12,40411000000,54,20,3,0,0,10,1,1,1,4,2,11,2,2,1,0,11,7,10,10,3,0,39,18,1,1,5,0,49,16,3,1,1,8,0,1,2,6,1,12,3,1,4,0,9,7,10,10,2,0,39,18,1,0,1,0,machj002,hughj001,romos001,petiy001,lockj001
20140506,SFN,NL,33,PIT,NL,33,1,2,53,PIT08,18881,10000000,10000001,30,5,0,0,0,1,0,1,2,2,0,4,2,0,0,0,7,1,1,1,0,0,26,11,1,0,1,0,30,5,1,1,0,1,0,0,1,1,0,5,1,0,1,0,4,2,0,0,1,0,27,13,1,0,0,0,watst001,hudst001,,hudst001,mortc002
20140507,SFN,NL,34,PIT,NL,34,3,4,51,PIT08,23975,100020000,22000000x,33,7,2,0,1,3,0,0,0,1,0,7,0,0,0,0,4,3,4,4,1,0,24,11,0,0,1,0,33,12,1,1,0,4,1,0,0,2,0,5,0,1,1,0,8,2,3,3,0,0,27,9,0,0,0,0,coleg001,linct001,melam001,linct001,coleg001
20140508,SFN,NL,35,LAN,NL,36,3,1,60,LOS03,43068,1002,100000,34,6,3,0,1,3,0,1,0,7,0,8,0,1,0,0,9,4,1,1,0,0,30,15,0,0,2,0,32,5,0,0,0,1,0,1,1,2,0,4,1,0,2,0,5,5,3,3,0,0,30,11,0,1,0,0,garcj002,howej003,romos001,voger001,beckj002
20140509,SFN,NL,36,LAN,NL,37,3,1,54,LOS03,49171,21000,1000,31,6,0,0,1,3,0,0,1,4,1,3,1,0,2,0,6,2,1,1,0,0,27,6,0,0,1,0,29,4,1,0,1,1,1,0,0,1,0,8,1,0,1,0,3,3,3,3,0,0,27,12,1,0,2,0,bumgm001,mahop002,romos001,bumgm001,mahop002
