Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100428,NYA,AL,20,BAL,AL,21,8,3,54,BAL12,17248.0,40,15,1,1,1,7,0,2,1,1,0,7,0,0,0,0,9,3,3,3,0,0,27,16,0,0,2,0,35,11,3,0,1,3,0,1,0,2,0,5,0,0,2,0,8,5,7,7,0,0,27,9,1,0,0,0,sabac001,guthj001,,sabac001,guthj001,,0.375,0.3142857142857143,0.38636363636363635,0.34210526315789475,0.525,0.4857142857142857,0.9113636363636364,0.8278195488721805,0.0,1.0
20100429,NYA,AL,21,BAL,AL,22,4,0,54,BAL12,26439.0,36,11,4,0,2,4,0,1,0,1,0,3,0,0,0,0,7,2,0,0,1,0,27,8,0,0,0,0,30,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,4,4,4,0,0,27,7,0,0,1,0,burna001,matub001,,burna001,matub001,,0.3055555555555556,0.1,0.3157894736842105,0.15625,0.5833333333333334,0.1,0.8991228070175439,0.25625,0.0,0.0
20100430,BOS,AL,23,BAL,AL,23,4,5,59,BAL12,30668.0,35,8,0,0,3,4,0,0,0,10,0,8,0,1,1,0,11,5,4,4,0,0,29,10,2,0,2,0,35,9,2,0,1,4,0,1,0,4,1,10,0,2,1,0,6,7,4,4,0,0,30,11,0,0,3,0,albem001,ramir003,,lackj001,hernd002,,0.22857142857142856,0.2571428571428571,0.4,0.325,0.4857142857142857,0.4,0.8857142857142857,0.7250000000000001,1.0,0.0
20100501,BOS,AL,24,BAL,AL,24,9,12,51,BAL12,35164.0,39,12,3,0,4,9,0,0,0,1,0,6,0,0,0,0,4,3,11,11,0,0,24,11,1,0,1,0,34,12,1,0,5,12,0,0,0,3,0,6,0,1,1,0,1,5,9,9,0,0,27,12,0,0,0,0,bergb002,matsd001,simoa001,matsd001,bergb002,,0.3076923076923077,0.35294117647058826,0.325,0.40540540540540543,0.6923076923076923,0.8235294117647058,1.0173076923076922,1.2289348171701113,1.0,1.0
20100502,BOS,AL,25,BAL,AL,25,2,3,57,BAL12,34255.0,31,7,0,0,2,2,1,0,0,5,0,7,1,1,2,0,5,3,2,2,0,0,27,9,1,0,1,0,34,10,3,0,0,3,1,0,2,2,1,8,0,1,1,0,9,3,2,2,0,0,30,12,0,0,3,0,albem001,papej001,,beckj002,millk004,,0.22580645161290322,0.29411764705882354,0.3333333333333333,0.3684210526315789,0.41935483870967744,0.38235294117647056,0.7526881720430108,0.7507739938080495,1.0,1.0
20100503,BAL,AL,26,NYA,AL,25,1,4,51,NYC21,41571.0,31,6,2,0,1,1,0,0,0,3,0,3,0,0,2,0,6,2,4,4,0,0,24,9,1,0,0,0,31,6,1,0,1,4,0,0,0,2,0,3,0,0,0,0,5,2,1,1,1,0,27,15,0,0,2,0,sabac001,guthj001,chamj002,guthj001,sabac001,,0.1935483870967742,0.1935483870967742,0.2647058823529412,0.24242424242424243,0.3548387096774194,0.3225806451612903,0.6195445920303606,0.5650048875855327,0.0,1.0
20100504,BAL,AL,27,NYA,AL,26,1,4,51,NYC21,43260.0,32,6,2,0,0,0,1,0,0,2,0,11,0,0,1,0,7,4,2,2,0,0,24,7,1,0,0,0,30,8,1,1,0,3,2,1,0,4,0,3,1,0,0,0,9,4,0,0,0,0,27,8,1,0,1,0,burna001,matub001,chamj002,matub001,burna001,,0.1875,0.26666666666666666,0.23529411764705882,0.34285714285714286,0.25,0.36666666666666664,0.4852941176470588,0.7095238095238094,0.0,0.0
20100505,BAL,AL,28,NYA,AL,27,5,7,51,NYC21,43425.0,34,11,0,0,3,5,0,0,0,4,0,3,0,0,4,0,6,4,6,6,1,0,24,11,2,0,0,0,33,10,2,0,2,6,1,0,0,6,1,5,2,0,0,0,9,6,5,5,0,0,27,15,0,0,4,0,petta001,hernd002,aceva001,hernd002,petta001,,0.3235294117647059,0.30303030303030304,0.39473684210526316,0.41025641025641024,0.5882352941176471,0.5454545454545454,0.9829721362229102,0.9557109557109557,0.0,0.0
20100506,BAL,AL,29,MIN,AL,29,2,0,54,MIN04,38489.0,31,7,0,0,1,2,0,0,0,3,0,9,1,0,3,0,5,4,0,0,0,0,27,14,1,0,0,0,34,6,1,0,0,0,0,0,0,3,0,2,0,0,0,0,10,2,2,2,0,0,27,12,0,0,3,0,bergb002,pavac001,simoa001,bergb002,pavac001,,0.22580645161290322,0.17647058823529413,0.29411764705882354,0.24324324324324326,0.3225806451612903,0.20588235294117646,0.6166982922201139,0.4491255961844197,1.0,0.0
20100508,BAL,AL,30,MIN,AL,30,7,3,54,MIN04,38608.0,39,12,2,0,0,7,0,0,0,3,0,5,2,0,0,0,8,3,3,3,0,0,27,10,0,0,1,0,33,7,0,1,2,3,0,0,1,1,0,6,0,0,1,0,5,3,7,7,0,0,27,7,0,0,0,0,guthj001,lirif001,,guthj001,lirif001,,0.3076923076923077,0.21212121212121213,0.35714285714285715,0.2571428571428571,0.358974358974359,0.45454545454545453,0.7161172161172161,0.7116883116883117,1.0,1.0
