Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS
20100427,SEA,AL,21,KCA,AL,20,3,2,54,KAN06,14969,36,10,2,0,0,3,0,0,0,3,0,9,0,1,0,0,9,4,2,2,1,0,27,9,0,0,1,0,35,9,1,2,0,2,0,0,0,3,0,5,0,0,1,0,9,4,3,3,0,0,27,5,0,0,1,0,kells001,rupej001,aardd001,sneli001,greiz001,,0.30303030303030304,0.28125,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.4,0.6666666666666666,0.7157894736842105
20100428,SEA,AL,22,KCA,AL,21,6,5,54,KAN06,13206,35,11,4,1,0,5,0,2,0,5,0,8,1,0,1,0,9,4,5,5,1,0,27,12,0,0,2,0,32,7,0,1,1,5,0,0,1,3,0,7,0,0,2,0,4,4,6,6,0,0,27,7,0,0,1,0,leagb001,thomb002,aardd001,rowlr002,mechg001,,0.39285714285714285,0.25,0.38095238095238093,0.3055555555555556,0.4857142857142857,0.375,0.8666666666666667,0.6805555555555556
20100430,TEX,AL,23,SEA,AL,23,2,0,72,SEA03,34055,40,5,0,0,0,1,0,0,0,2,1,13,0,0,0,0,4,5,0,0,0,0,36,7,1,0,1,0,41,7,1,0,0,0,0,0,0,3,1,13,0,1,1,0,8,5,1,1,2,0,36,10,1,0,1,0,franf001,leagb001,felin001,lewic001,lee-c003,,0.13513513513513514,0.1891891891891892,0.16666666666666666,0.22727272727272727,0.125,0.1951219512195122,0.29166666666666663,0.42239467849223944
20100501,TEX,AL,24,SEA,AL,24,6,3,54,SEA03,30225,38,13,1,0,1,6,0,0,0,5,0,8,0,1,1,0,10,4,2,2,1,0,27,9,2,0,2,0,34,8,0,0,0,3,1,0,0,6,0,4,0,0,2,0,11,3,6,6,0,0,27,10,0,0,1,0,harrm001,hernf002,franf001,harrm001,hernf002,,0.3939393939393939,0.2962962962962963,0.4186046511627907,0.35,0.4473684210526316,0.23529411764705882,0.8659730722154223,0.5852941176470587
20100502,TEX,AL,25,SEA,AL,25,3,1,66,SEA03,27185,38,8,0,0,0,2,1,1,0,2,1,5,1,0,0,0,6,5,1,1,0,0,33,12,1,0,2,0,36,5,1,0,0,1,0,0,1,5,0,8,2,1,1,0,8,4,2,2,0,0,33,17,0,2,0,0,nippd001,lowem002,felin001,wilsc004,fistd001,,0.24242424242424243,0.16666666666666666,0.24390243902439024,0.2619047619047619,0.21052631578947367,0.16666666666666666,0.4544287548138639,0.4285714285714286
20100504,TBA,AL,26,SEA,AL,26,5,2,54,SEA03,15589,38,8,2,0,1,5,0,1,0,5,0,11,0,0,0,0,12,2,2,2,1,0,27,9,0,0,0,0,34,8,1,0,0,1,0,0,0,1,0,12,0,0,0,0,6,4,4,4,1,0,27,6,4,1,0,0,shiej002,vargj001,sorir001,shiej002,vargj001,,0.25,0.24242424242424243,0.29545454545454547,0.2571428571428571,0.34210526315789475,0.2647058823529412,0.6375598086124402,0.5218487394957982
20100505,TBA,AL,27,SEA,AL,27,8,3,54,SEA03,14627,37,11,3,0,0,7,0,1,0,3,0,6,0,0,0,0,6,2,2,2,1,0,27,11,1,0,0,0,34,6,2,0,1,3,0,0,0,2,0,6,0,0,0,0,6,3,7,7,0,0,27,11,1,1,0,0,garzm001,lee-c003,,garzm001,lee-c003,,0.3333333333333333,0.1875,0.34146341463414637,0.2222222222222222,0.3783783783783784,0.3235294117647059,0.7198417930125247,0.5457516339869282
20100506,TBA,AL,28,SEA,AL,28,8,0,54,SEA03,17617,39,12,6,0,1,8,0,0,0,5,0,5,1,0,0,0,9,3,0,0,0,0,27,9,0,0,1,0,30,4,0,0,0,0,0,0,0,2,0,9,0,0,1,0,5,3,8,8,1,0,27,10,0,0,0,0,niemj001,rowlr002,,niemj001,rowlr002,,0.35294117647058826,0.14285714285714285,0.38636363636363635,0.1875,0.5384615384615384,0.13333333333333333,0.9248251748251748,0.3208333333333333
20100507,ANA,AL,31,SEA,AL,29,8,0,54,SEA03,37602,31,5,1,0,3,8,0,1,0,7,0,8,0,0,0,0,4,2,0,0,0,0,27,10,0,0,1,0,28,2,1,0,0,0,0,0,0,4,0,8,1,0,1,0,5,4,7,7,0,0,27,8,1,0,0,0,weavj003,hernf002,,weavj003,hernf002,,0.21739130434782608,0.08333333333333333,0.3076923076923077,0.1875,0.4838709677419355,0.10714285714285714,0.7915632754342432,0.29464285714285715
20100508,ANA,AL,32,SEA,AL,30,4,3,60,SEA03,30446,40,12,2,0,1,4,1,0,0,2,1,3,0,0,1,0,9,5,1,1,0,0,30,19,1,0,2,0,34,7,2,1,0,3,1,0,1,9,0,8,2,1,2,0,12,4,4,4,0,0,30,13,0,0,1,0,rodnf001,aardd001,fuenb001,saunj001,fistd001,,0.3333333333333333,0.30434782608695654,0.3333333333333333,0.38636363636363635,0.425,0.3235294117647059,0.7583333333333333,0.7098930481283423
20100509,ANA,AL,33,SEA,AL,31,1,8,51,SEA03,28668,32,5,1,0,0,0,1,0,0,2,0,8,0,0,1,0,7,2,8,8,1,0,24,4,1,0,0,0,33,12,2,1,2,8,0,0,0,7,0,6,4,0,0,0,8,3,0,0,1,0,27,3,1,0,1,0,vargj001,sante001,,sante001,vargj001,,0.1724137931034483,0.46153846153846156,0.20588235294117646,0.475,0.1875,0.6666666666666666,0.39338235294117646,1.1416666666666666
20100511,SEA,AL,32,BAL,AL,33,5,1,54,BAL12,12614,35,10,2,0,1,4,0,0,0,5,1,4,0,1,1,0,8,2,1,1,0,0,27,13,1,0,2,0,34,8,2,0,0,1,0,0,0,0,0,2,0,0,2,0,6,3,4,4,2,0,27,11,1,0,1,0,lee-c003,hernd002,leagb001,lee-c003,hernd002,,0.3448275862068966,0.23529411764705882,0.375,0.23529411764705882,0.42857142857142855,0.29411764705882354,0.8035714285714286,0.5294117647058824
20100512,SEA,AL,33,BAL,AL,34,2,5,51,BAL12,11448,31,7,1,0,0,2,1,1,0,3,1,4,1,0,2,0,7,5,5,5,0,0,24,12,1,0,0,0,35,12,3,0,1,5,0,1,0,1,0,7,0,0,0,0,8,4,2,2,0,0,27,12,1,0,2,0,bergb002,rowlr002,simoa001,rowlr002,bergb002,,0.28,0.36363636363636365,0.2857142857142857,0.35135135135135137,0.25806451612903225,0.5142857142857142,0.543778801843318,0.8656370656370656
20100513,SEA,AL,34,BAL,AL,35,5,6,51,BAL12,20938,32,8,1,0,3,5,1,0,1,3,0,6,0,1,0,0,5,2,6,6,2,0,24,10,0,0,1,0,32,8,1,0,2,6,0,0,0,3,0,9,0,0,1,0,5,3,5,5,0,0,27,13,0,0,0,0,hendm001,leagb001,simoa001,hernf002,millk004,,0.2962962962962963,0.27586206896551724,0.3333333333333333,0.3142857142857143,0.5625,0.46875,0.8958333333333333,0.7830357142857143
20100514,SEA,AL,35,TBA,AL,35,4,3,54,STP01,27856,36,10,3,0,3,4,0,0,0,3,1,6,1,0,1,0,8,4,3,3,0,1,27,13,1,0,1,0,32,6,1,0,1,2,0,0,0,4,0,9,0,0,1,0,6,6,4,4,2,0,27,14,1,0,1,0,fistd001,daviw001,aardd001,fistd001,daviw001,,0.3125,0.21428571428571427,0.3333333333333333,0.2777777777777778,0.6111111111111112,0.3125,0.9444444444444444,0.5902777777777778
20100515,SEA,AL,36,TBA,AL,36,2,3,51,STP01,23627,32,6,1,0,1,1,0,0,0,1,0,10,1,0,2,0,4,4,3,3,0,0,24,12,0,0,1,0,27,6,0,0,1,3,1,1,0,3,1,2,1,0,1,0,5,2,2,2,1,0,27,9,1,0,2,0,sorir001,coloj001,,vargj001,shiej002,,0.1935483870967742,0.2857142857142857,0.21212121212121213,0.2903225806451613,0.3125,0.3333333333333333,0.5246212121212122,0.6236559139784946
20100516,SEA,AL,37,TBA,AL,37,1,2,51,STP01,23005,31,6,0,0,0,1,0,0,1,3,0,4,0,0,1,0,7,1,2,2,0,0,24,6,2,0,0,0,29,5,4,1,0,2,0,1,0,1,0,10,1,0,0,1,6,5,1,1,1,0,27,8,0,0,1,0,wheed001,lee-c003,sorir001,lee-c003,garzm001,,0.2222222222222222,0.18518518518518517,0.2857142857142857,0.1935483870967742,0.1935483870967742,0.3793103448275862,0.4792626728110599,0.5728587319243603
20100517,SEA,AL,38,OAK,AL,39,4,8,51,OAK01,10051,31,6,0,0,1,4,0,0,0,4,0,5,2,0,2,0,4,4,8,8,0,0,24,8,1,0,3,0,36,15,3,1,2,8,0,1,0,0,0,7,2,0,3,0,5,5,4,4,0,0,27,11,1,0,2,0,gonzg003,rowlr002,,rowlr002,gonzg003,,0.2222222222222222,0.42857142857142855,0.2857142857142857,0.40540540540540543,0.2903225806451613,0.7222222222222222,0.5760368663594471,1.1276276276276276
20100518,SEA,AL,39,OAK,AL,40,5,6,59,OAK01,10512,36,10,1,0,1,5,0,1,0,5,1,9,2,0,1,0,7,5,6,6,2,0,29,9,0,0,1,0,41,16,4,0,0,6,0,1,1,6,1,10,1,1,0,0,14,5,5,5,0,0,30,11,0,0,1,0,bresc001,leagb001,,hernf002,sheeb001,,0.3448275862068966,0.5,0.35714285714285715,0.46938775510204084,0.3888888888888889,0.4878048780487805,0.746031746031746,0.9571926331508214
20100519,TOR,AL,42,SEA,AL,40,3,2,54,SEA03,19208,32,6,3,0,0,3,0,1,1,1,0,7,0,0,0,0,5,4,2,2,0,0,27,10,1,0,0,0,38,10,1,0,0,2,0,0,0,2,0,5,1,0,0,0,11,2,3,3,0,0,27,12,0,0,0,0,cecib001,fistd001,gregk001,cecib001,fistd001,,0.20689655172413793,0.2777777777777778,0.22857142857142856,0.3,0.28125,0.2894736842105263,0.5098214285714285,0.5894736842105264
20100520,TOR,AL,43,SEA,AL,41,3,4,52,SEA03,20452,29,5,1,0,1,3,0,1,0,3,1,3,0,0,2,0,3,5,4,4,0,0,25,10,0,0,1,0,28,8,1,0,0,4,2,1,0,5,0,6,0,1,1,0,7,3,3,3,0,0,27,8,0,0,2,0,kells001,gregk001,,romer002,vargj001,,0.20833333333333334,0.4,0.24242424242424243,0.38235294117647056,0.3103448275862069,0.32142857142857145,0.5527690700104493,0.703781512605042
20100521,SDN,NL,42,SEA,AL,42,8,15,51,SEA03,24139,43,15,6,0,0,7,0,1,0,0,0,10,0,0,0,0,9,5,15,15,0,0,24,4,1,0,0,0,40,15,3,0,3,15,0,1,0,4,0,8,0,0,0,0,6,3,7,7,2,0,27,5,1,0,0,0,lee-c003,leblw001,,leblw001,lee-c003,,0.35714285714285715,0.42857142857142855,0.3409090909090909,0.4222222222222222,0.4883720930232558,0.675,0.8292811839323466,1.0972222222222223
