Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100502,CHA,AL,25,NYA,AL,24,3,12,51,NYC21,45303.0,33,6,0,0,1,3,0,0,0,1,0,7,1,1,0,0,4,4,11,11,0,0,24,11,2,0,1,0,41,16,4,0,3,12,0,0,1,4,0,7,0,0,1,0,10,2,2,2,1,0,27,8,1,0,0,0,hughp001,buehm001,,buehm001,hughp001,,0.1875,0.4444444444444444,0.20588235294117646,0.45652173913043476,0.2727272727272727,0.7073170731707317,0.47860962566844917,1.1638388123011665,1.0
20100503,BAL,AL,26,NYA,AL,25,1,4,51,NYC21,41571.0,31,6,2,0,1,1,0,0,0,3,0,3,0,0,2,0,6,2,4,4,0,0,24,9,1,0,0,0,31,6,1,0,1,4,0,0,0,2,0,3,0,0,0,0,5,2,1,1,1,0,27,15,0,0,2,0,sabac001,guthj001,chamj002,guthj001,sabac001,,0.21428571428571427,0.20689655172413793,0.2647058823529412,0.24242424242424243,0.3548387096774194,0.3225806451612903,0.6195445920303606,0.5650048875855327,1.0
20100504,BAL,AL,27,NYA,AL,26,1,4,51,NYC21,43260.0,32,6,2,0,0,0,1,0,0,2,0,11,0,0,1,0,7,4,2,2,0,0,24,7,1,0,0,0,30,8,1,1,0,3,2,1,0,4,0,3,1,0,0,0,9,4,0,0,0,0,27,8,1,0,1,0,burna001,matub001,chamj002,matub001,burna001,,0.20689655172413793,0.34782608695652173,0.23529411764705882,0.34285714285714286,0.25,0.36666666666666664,0.4852941176470588,0.7095238095238094,1.0
20100505,BAL,AL,28,NYA,AL,27,5,7,51,NYC21,43425.0,34,11,0,0,3,5,0,0,0,4,0,3,0,0,4,0,6,4,6,6,1,0,24,11,2,0,0,0,33,10,2,0,2,6,1,0,0,6,1,5,2,0,0,0,9,6,5,5,0,0,27,15,0,0,4,0,petta001,hernd002,aceva001,hernd002,petta001,,0.36666666666666664,0.4,0.39473684210526316,0.41025641025641024,0.5882352941176471,0.5454545454545454,0.9829721362229102,0.9557109557109557,1.0
20100507,NYA,AL,28,BOS,AL,30,10,3,54,BOS07,37898.0,35,11,1,0,1,10,0,2,2,3,1,9,0,0,1,0,5,3,3,3,0,0,27,9,0,0,1,0,34,9,1,0,0,3,0,1,0,3,0,9,0,0,1,0,8,3,10,10,2,0,27,10,0,1,1,0,hughp001,beckj002,,hughp001,beckj002,,0.4074074074074074,0.3,0.38095238095238093,0.3157894736842105,0.42857142857142855,0.29411764705882354,0.8095238095238095,0.609907120743034,1.0
20100508,NYA,AL,29,BOS,AL,31,14,3,54,BOS07,37138.0,39,17,2,0,3,14,1,0,0,10,0,4,2,0,3,0,9,6,3,3,0,0,27,6,0,0,1,0,34,8,0,0,2,3,0,0,1,4,0,9,0,0,1,0,9,6,13,13,1,0,27,16,1,0,3,0,aceva001,buchc001,,sabac001,buchc001,,0.6071428571428571,0.27586206896551724,0.5510204081632653,0.3333333333333333,0.717948717948718,0.4117647058823529,1.2689691261119833,0.7450980392156863,1.0
20100509,NYA,AL,30,BOS,AL,32,3,9,51,BOS07,37618.0,33,7,0,0,2,3,0,0,1,2,0,10,0,0,1,0,6,2,8,8,1,0,24,7,1,0,0,0,34,10,5,0,1,8,0,1,0,4,0,7,0,0,0,0,6,3,3,3,0,0,27,9,0,0,1,0,lestj001,burna001,,burna001,lestj001,,0.23333333333333334,0.3448275862068966,0.2777777777777778,0.358974358974359,0.3939393939393939,0.5294117647058824,0.6717171717171717,0.8883861236802413,0.0
20100510,NYA,AL,31,DET,AL,32,4,5,51,DET05,34365.0,33,8,0,0,1,4,0,0,0,7,0,5,0,1,1,0,9,4,4,4,1,0,24,12,1,0,1,0,30,8,1,1,1,5,1,0,0,5,1,9,1,0,1,0,7,6,4,4,1,0,27,10,0,0,1,0,bonie002,mitrs001,valvj001,mitrs001,thomb001,,0.3076923076923077,0.34782608695652173,0.375,0.37142857142857144,0.3333333333333333,0.4666666666666667,0.7083333333333333,0.8380952380952381,0.0
20100512,NYA,AL,32,DET,AL,33,0,2,51,DET05,27376.0,30,4,1,0,0,0,0,0,0,4,0,4,1,0,1,0,7,2,2,2,0,0,24,6,0,0,1,0,28,5,0,0,0,2,0,0,0,2,0,8,0,0,1,0,4,3,0,0,0,0,27,16,1,0,1,0,porcr001,vazqj001,valvj001,vazqj001,porcr001,,0.15384615384615385,0.19230769230769232,0.23529411764705882,0.23333333333333334,0.16666666666666666,0.17857142857142858,0.4019607843137255,0.4119047619047619,0.0
20100512,NYA,AL,33,DET,AL,34,8,0,54,DET05,28514.0,38,10,2,0,0,7,0,0,1,4,1,9,2,0,0,0,8,3,0,0,0,0,27,8,0,0,1,0,32,6,1,0,0,0,0,0,0,1,0,10,0,0,1,0,6,3,8,8,1,0,27,7,1,0,0,0,hughp001,bondj001,,hughp001,bondj001,,0.3125,0.1935483870967742,0.3488372093023256,0.21212121212121213,0.3157894736842105,0.21875,0.6646266829865362,0.43087121212121215,1.0
20100513,NYA,AL,34,DET,AL,35,0,6,51,DET05,31130.0,32,4,1,0,0,0,0,0,1,5,0,5,0,0,0,0,11,2,6,6,0,0,24,11,0,1,1,0,34,11,3,0,2,6,0,0,0,0,0,5,0,0,1,0,4,3,0,0,0,0,27,12,2,0,0,0,verlj001,sabac001,,sabac001,verlj001,,0.15384615384615385,0.3235294117647059,0.2631578947368421,0.3235294117647059,0.15625,0.5882352941176471,0.4194078947368421,0.911764705882353,0.0
20100514,MIN,AL,35,NYA,AL,35,4,8,51,NYC21,45195.0,33,9,1,0,1,4,1,0,0,5,1,7,0,1,2,0,8,5,8,8,0,0,24,7,0,0,0,0,36,14,5,1,2,8,0,0,0,2,1,10,0,1,0,0,6,4,3,3,0,0,27,16,1,0,2,0,chamj002,bakes002,,bakes002,burna001,,0.34615384615384615,0.42424242424242425,0.3684210526315789,0.42105263157894735,0.3939393939393939,0.75,0.7623604465709728,1.1710526315789473,1.0
20100515,MIN,AL,36,NYA,AL,36,1,7,51,NYC21,46347.0,32,7,0,0,0,1,0,0,0,4,0,4,0,0,1,0,8,4,7,7,0,0,24,9,0,1,0,0,35,12,2,0,2,7,1,0,1,1,0,8,1,0,0,0,7,4,1,1,0,0,27,9,0,0,2,0,petta001,lirif001,,lirif001,petta001,,0.25,0.375,0.3055555555555556,0.3783783783783784,0.21875,0.5714285714285714,0.5243055555555556,0.9498069498069498,1.0
20100516,MIN,AL,37,NYA,AL,37,6,3,54,NYC21,46628.0,34,9,0,0,2,6,0,0,0,5,0,7,1,0,1,0,6,4,3,3,0,0,27,8,0,0,1,0,37,11,0,1,0,3,0,0,0,2,0,8,0,0,1,0,9,5,6,6,0,1,27,9,0,0,2,0,blacn001,chamj002,raucj001,blacn001,mitrs001,,0.3103448275862069,0.3142857142857143,0.358974358974359,0.3333333333333333,0.4411764705882353,0.35135135135135137,0.8001508295625943,0.6846846846846847,0.0
20100517,BOS,AL,39,NYA,AL,38,9,11,53,NYC21,48271.0,38,13,1,0,5,9,0,0,0,2,0,4,0,0,2,0,4,4,11,11,1,0,26,8,0,0,0,0,37,13,4,0,2,11,0,1,1,4,0,5,1,0,0,0,6,5,9,9,1,0,27,12,0,0,2,0,vazqj001,papej001,,matsd001,hughp001,,0.3611111111111111,0.41935483870967744,0.375,0.4186046511627907,0.7631578947368421,0.6216216216216216,1.138157894736842,1.0402262727844123,1.0
20100518,BOS,AL,40,NYA,AL,39,7,6,54,NYC21,47734.0,37,10,2,0,1,7,0,0,0,3,0,5,0,0,1,0,6,6,3,3,0,0,27,10,2,0,0,0,36,8,3,0,1,6,1,0,0,8,0,10,0,0,0,0,12,3,4,4,0,0,27,13,2,0,1,0,bardd001,rivem002,papej001,beckj002,sabac001,,0.29411764705882354,0.2962962962962963,0.325,0.36363636363636365,0.40540540540540543,0.3888888888888889,0.7304054054054054,0.7525252525252526,0.0
20100519,TBA,AL,40,NYA,AL,40,10,6,54,NYC21,43283.0,37,15,4,0,1,10,1,2,1,5,0,6,6,0,1,0,9,4,6,6,0,0,27,10,2,0,1,0,37,12,2,0,1,6,0,1,0,6,0,10,0,1,1,0,11,3,10,10,0,0,27,10,1,0,1,0,daviw001,burna001,benoj001,daviw001,burna001,,0.5357142857142857,0.4,0.4666666666666667,0.4090909090909091,0.5945945945945946,0.4594594594594595,1.0612612612612613,0.8685503685503686,0.0
