Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100507,ANA,AL,31,SEA,AL,29,8,0,54,SEA03,37602.0,31,5,1,0,3,8,0,1,0,7,0,8,0,0,0,0,4,2,0,0,0,0,27,10,0,0,1,0,28,2,1,0,0,0,0,0,0,4,0,8,1,0,1,0,5,4,7,7,0,0,27,8,1,0,0,0,weavj003,hernf002,,weavj003,hernf002,0.16129032258064516,0.07142857142857142,0.3076923076923077,0.1875,0.4838709677419355,0.10714285714285714,0.7915632754342432,0.29464285714285715,1.0,0.0
20100508,ANA,AL,32,SEA,AL,30,4,3,60,SEA03,30446.0,40,12,2,0,1,4,1,0,0,2,1,3,0,0,1,0,9,5,1,1,0,0,30,19,1,0,2,0,34,7,2,1,0,3,1,0,1,9,0,8,2,1,2,0,12,4,4,4,0,0,30,13,0,0,1,0,rodnf001,aardd001,fuenb001,saunj001,fistd001,0.3,0.20588235294117646,0.3333333333333333,0.38636363636363635,0.425,0.3235294117647059,0.7583333333333333,0.7098930481283423,1.0,1.0
20100509,ANA,AL,33,SEA,AL,31,1,8,51,SEA03,28668.0,32,5,1,0,0,0,1,0,0,2,0,8,0,0,1,0,7,2,8,8,1,0,24,4,1,0,0,0,33,12,2,1,2,8,0,0,0,7,0,6,4,0,0,0,8,3,0,0,1,0,27,3,1,0,1,0,vargj001,sante001,,sante001,vargj001,0.15625,0.36363636363636365,0.20588235294117646,0.475,0.1875,0.6666666666666666,0.3933823529411765,1.1416666666666666,0.0,1.0
20100510,TBA,AL,32,ANA,AL,34,4,5,65,ANA01,36798.0,44,12,2,0,1,4,0,0,1,4,0,12,0,1,1,0,12,4,5,5,1,0,32,11,2,0,2,0,36,8,1,0,2,5,1,2,1,1,0,10,0,2,0,1,5,6,4,4,4,0,33,8,1,0,1,0,bellt002,balfg001,,garzm001,pinej001,0.2727272727272727,0.2222222222222222,0.3469387755102041,0.25,0.38636363636363635,0.4166666666666667,0.7333024118738405,0.6666666666666667,1.0,0.0
20100511,TBA,AL,33,ANA,AL,35,7,2,54,ANA01,39007.0,35,12,2,0,1,7,1,1,0,5,0,8,2,1,1,0,8,5,2,2,0,0,27,12,0,0,0,0,34,8,1,0,0,2,0,0,0,3,0,6,1,0,0,0,8,4,7,7,1,0,27,10,0,0,1,0,niemj001,kazms001,,niemj001,kazms001,0.34285714285714286,0.23529411764705882,0.4146341463414634,0.2972972972972973,0.4857142857142857,0.2647058823529412,0.9003484320557491,0.5620031796502385,0.0,1.0
20100512,TBA,AL,34,ANA,AL,36,4,3,54,ANA01,35700.0,36,8,4,0,0,2,0,0,0,2,0,14,2,0,0,0,7,6,2,2,0,0,27,13,1,0,1,0,33,8,2,0,0,3,0,1,0,3,0,6,3,0,1,0,7,3,1,1,1,0,27,7,1,2,0,0,pricd001,weavj003,sorir001,pricd001,weavj003,0.2222222222222222,0.24242424242424243,0.2631578947368421,0.2972972972972973,0.3333333333333333,0.30303030303030304,0.5964912280701754,0.6003276003276004,0.0,0.0
20100514,OAK,AL,36,ANA,AL,37,0,4,51,ANA01,41290.0,30,4,1,0,0,0,0,0,0,2,0,6,0,1,0,0,5,1,4,4,0,0,24,9,0,0,0,0,29,7,2,0,1,4,2,0,0,1,0,5,0,0,0,0,4,1,0,0,1,0,27,12,0,0,1,0,saunj001,bradd002,,bradd002,saunj001,0.13333333333333333,0.2413793103448276,0.1875,0.26666666666666666,0.16666666666666666,0.41379310344827586,0.35416666666666663,0.6804597701149425,1.0,0.0
20100515,OAK,AL,37,ANA,AL,38,3,12,51,ANA01,41744.0,35,11,2,0,1,2,2,0,0,3,0,7,0,0,2,0,10,4,11,11,0,0,24,11,2,0,0,0,37,15,4,0,2,11,1,1,2,0,0,9,2,0,0,0,5,3,2,2,1,0,27,8,1,0,2,0,sante001,rosst001,,rosst001,sante001,0.3142857142857143,0.40540540540540543,0.3684210526315789,0.425,0.45714285714285713,0.6756756756756757,0.8255639097744359,1.1006756756756757,1.0,1.0
20100516,OAK,AL,38,ANA,AL,39,0,4,51,ANA01,41569.0,30,4,1,0,0,0,0,0,0,1,0,5,0,0,1,0,4,2,4,4,0,0,24,15,1,0,1,0,29,7,2,0,1,4,1,0,0,2,0,2,0,0,1,0,4,1,0,0,0,0,27,14,0,0,1,0,pinej001,cahit001,,cahit001,pinej001,0.13333333333333333,0.2413793103448276,0.16129032258064516,0.2903225806451613,0.16666666666666666,0.41379310344827586,0.3279569892473118,0.7041156840934372,1.0,1.0
20100517,ANA,AL,40,TEX,AL,39,3,4,51,ARL02,20210.0,32,5,0,0,2,3,0,0,0,3,0,6,0,0,0,0,5,2,4,4,1,0,24,11,2,0,2,0,30,9,3,0,0,4,0,1,1,2,0,4,1,0,2,0,6,4,3,3,0,0,27,7,1,0,0,0,holld003,kazms001,felin001,kazms001,holld003,0.15625,0.3,0.22857142857142856,0.35294117647058826,0.34375,0.4,0.5723214285714285,0.7529411764705882,0.0,1.0
