Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20110423","CIN","NL",21,"SLN","NL",21,5,3,54,"STL10",41877,"000002030","011001000",33,4,1,0,1,5,0,0,1,5,1,8,0,0,0,0,7,4,3,3,0,0,27,10,0,0,1,0,30,8,3,0,1,3,2,1,0,1,0,6,1,1,1,0,4,5,2,2,0,0,27,11,2,0,0,0,"chapa001","Aroldis Chapman","batim001","Miguel Batista","cordf002","Francisco Cordero","woodt004","Travis Wood","carpc002","Chris Carpenter",
"20110424","CIN","NL",22,"SLN","NL",22,0,3,51,"STL10",38201,"000000000","00000300x",29,4,3,0,0,0,0,0,0,3,1,10,0,1,1,0,5,3,3,3,0,0,24,9,0,0,1,0,30,7,2,0,1,3,0,0,0,4,1,8,2,0,1,0,7,4,0,0,0,0,27,12,0,0,1,0,"westj001","Jake Westbrook","volqe001","Edinson Volquez","boggm001","Mitchell Boggs","volqe001","Edinson Volquez","westj001","Jake Westbrook",
"20110425","CIN","NL",23,"MIL","NL",22,9,5,54,"MIL06",35794,"016000002","000010112",39,12,3,0,1,9,0,0,0,3,0,13,3,0,0,0,6,5,4,4,0,0,27,7,1,0,0,0,37,10,3,0,1,4,0,1,0,3,0,5,1,0,0,0,9,5,9,9,0,1,27,8,0,0,0,0,"arrob001","Bronson Arroyo","narvc001","Chris Narveson","","(none)","arrob001","Bronson Arroyo","narvc001","Chris Narveson",
"20110426","CIN","NL",24,"MIL","NL",23,2,3,51,"MIL06",37062,"000200000","01010001x",26,2,0,0,1,2,1,0,2,3,0,8,0,0,2,0,3,3,3,3,0,0,24,11,0,0,0,0,31,8,0,1,3,3,0,0,0,0,0,7,0,0,0,0,4,3,2,2,0,0,27,11,0,0,2,0,"loe-k001","Kameron Loe","ondrl001","Logan Ondrusek","axfoj001","John Axford","leakm001","Mike Leake","estrm001","Marco Estrada",
"20110427","CIN","NL",25,"MIL","NL",24,7,6,60,"MIL06",33848,"4000020001","0021120000",42,15,2,0,2,7,1,1,0,5,0,6,1,0,1,0,12,7,5,5,1,0,30,14,1,0,0,0,38,11,2,0,0,5,1,1,2,3,0,7,0,1,0,0,9,7,7,7,1,0,30,11,0,0,1,0,"chapa001","Aroldis Chapman","mitrs001","Sergio Mitre","cordf002","Francisco Cordero","lecus001","Sam LeCure","gally001","Yovani Gallardo",
"20110429","FLO","NL",24,"CIN","NL",26,7,6,54,"CIN09",27051,"500200000","100300002",35,11,3,1,1,7,0,1,0,3,0,8,0,1,1,0,5,4,6,6,0,0,27,4,0,0,0,0,33,7,2,0,2,6,0,0,0,5,0,6,1,0,0,0,5,5,7,7,0,0,27,9,0,0,1,0,"vazqj001","Javier Vazquez","woodt004","Travis Wood","nunel001","Leo Nunez","vazqj001","Javier Vazquez","woodt004","Travis Wood",
"20110430","FLO","NL",25,"CIN","NL",27,3,4,59,"CIN09",40286,"1000000200","0000000301",34,5,1,0,0,3,0,0,0,8,0,9,1,1,1,0,9,5,3,3,0,0,29,10,1,0,0,0,40,11,2,0,0,4,1,0,0,4,0,8,2,0,0,0,12,5,3,3,1,0,30,13,1,0,1,0,"cordf002","Francisco Cordero","dunnm002","Michael Dunn","","(none)","johnj009","Josh Johnson","volqe001","Edinson Volquez",
"20110501","FLO","NL",26,"CIN","NL",28,9,5,54,"CIN09",26941,"210000240","200001002",36,11,0,0,5,9,1,0,0,3,0,4,0,0,1,0,4,5,5,5,0,0,27,11,0,0,1,0,35,9,3,0,2,5,0,0,1,3,0,7,1,0,1,0,7,3,9,9,0,0,27,14,0,0,1,0,"nolar001","Ricky Nolasco","arrob001","Bronson Arroyo","nunel001","Leo Nunez","nolar001","Ricky Nolasco","arrob001","Bronson Arroyo",
"20110503","HOU","NL",29,"CIN","NL",29,10,4,54,"CIN09",12005,"010620001","100020100",38,13,4,1,2,10,0,2,0,3,0,9,1,0,0,0,6,5,4,4,0,0,27,8,0,0,0,0,34,9,2,0,0,4,0,1,0,3,0,6,0,1,0,0,7,5,10,10,1,0,27,11,0,0,0,0,"happj001","J.A. Happ","leakm001","Mike Leake","","(none)","happj001","J.A. Happ","leakm001","Mike Leake",
"20110504","HOU","NL",30,"CIN","NL",30,2,3,51,"CIN09",12340,"002000000","000000003",30,6,3,0,0,2,1,0,0,4,0,9,0,1,1,0,6,6,3,3,1,0,24,7,0,0,0,0,29,5,1,1,0,3,0,0,0,3,0,6,0,0,0,0,5,4,2,2,0,0,27,9,0,0,1,0,"cordf002","Francisco Cordero","lyonb003","Brandon Lyon","","(none)","rodra002","Aneury Rodriguez","woodt004","Travis Wood",
"20110505","HOU","NL",31,"CIN","NL",31,4,10,51,"CIN09",14765,"000001300","01021204x",34,7,1,0,0,4,0,0,0,3,0,11,3,0,0,0,6,4,10,10,0,0,24,7,0,0,1,0,34,14,3,0,2,10,0,2,0,3,1,6,1,1,1,0,5,6,4,4,0,0,27,8,0,0,0,0,"bailh001","Homer Bailey","myerb001","Brett Myers","","(none)","myerb001","Brett Myers","bailh001","Homer Bailey",
"20110506","CIN","NL",32,"CHN","NL",31,5,4,54,"CHI11",35471,"000320000","001111000",33,7,2,0,1,5,1,0,1,3,0,10,0,0,0,0,6,4,3,3,2,0,27,12,2,1,3,0,33,7,0,0,0,2,0,0,1,5,0,7,1,0,1,0,8,4,5,5,0,0,27,11,0,0,0,0,"volqe001","Edinson Volquez","garzm001","Matt Garza","cordf002","Francisco Cordero","volqe001","Edinson Volquez","garzm001","Matt Garza",
"20110507","CIN","NL",33,"CHN","NL",32,2,3,53,"CHI11",37666,"000000200","000100002",30,5,0,0,0,2,1,0,1,4,0,8,1,0,1,0,7,3,3,3,0,0,26,13,0,0,2,0,35,11,2,0,2,3,0,0,0,2,0,6,0,1,1,0,8,4,2,2,0,0,27,9,0,0,1,0,"matem001","Marcos Mateo","cordf002","Francisco Cordero","","(none)","arrob001","Bronson Arroyo","colec001","Casey Coleman",
"20110508","CIN","NL",34,"CHN","NL",33,2,0,54,"CHI11",31931,"010010000","000000000",31,5,1,0,1,2,1,0,1,1,0,6,0,0,0,0,5,5,0,0,0,2,27,9,1,0,1,0,33,6,0,0,0,0,0,0,1,2,0,8,0,0,1,0,9,3,2,2,0,0,27,12,0,0,0,0,"cuetj001","Johnny Cueto","dempr002","Ryan Dempster","cordf002","Francisco Cordero","cuetj001","Johnny Cueto","dempr002","Ryan Dempster",
"20110509","CIN","NL",35,"HOU","NL",35,6,1,54,"HOU03",20174,"003201000","000000010",39,12,1,0,2,6,0,0,0,3,0,9,1,0,0,0,9,4,1,1,0,0,27,13,0,0,1,0,35,9,1,1,1,1,0,0,1,1,0,7,0,0,1,0,9,3,6,6,0,0,27,8,1,0,0,0,"woodt004","Travis Wood","rodra002","Aneury Rodriguez","","(none)","woodt004","Travis Wood","rodra002","Aneury Rodriguez",
"20110510","CIN","NL",36,"HOU","NL",36,7,3,54,"HOU03",24499,"420000100","000000030",40,15,3,0,1,7,0,0,1,6,1,12,0,0,0,0,13,4,3,3,1,0,27,8,0,0,1,0,33,7,0,0,0,3,0,0,1,3,0,7,0,0,1,0,7,5,7,7,0,0,27,7,1,0,0,0,"bailh001","Homer Bailey","myerb001","Brett Myers","","(none)","bailh001","Homer Bailey","myerb001","Brett Myers",
"20110511","CIN","NL",37,"HOU","NL",37,3,4,52,"HOU03",21008,"000100200","021000001",38,10,0,1,2,3,0,0,0,0,0,4,1,0,0,0,8,5,4,4,0,0,25,7,0,0,0,0,29,5,4,0,0,4,0,1,0,9,1,7,0,0,0,0,10,3,3,3,0,0,27,16,1,0,0,0,"melam001","Mark Melancon","leakm001","Mike Leake","","(none)","volqe001","Edinson Volquez","rodrw002","Wandy Rodriguez",
"20110513","SLN","NL",39,"CIN","NL",38,5,6,59,"CIN09",32972,"0003011000","0000022011",37,9,2,0,0,5,0,1,0,7,2,8,1,0,1,0,10,6,6,6,1,0,29,14,0,0,2,0,38,13,4,0,0,6,2,0,1,7,1,5,0,0,0,0,13,5,4,4,1,0,30,9,1,0,1,0,"cordf002","Francisco Cordero","mottj001","Jason Motte","","(none)","lohsk001","Kyle Lohse","arrob001","Bronson Arroyo",
"20110514","SLN","NL",40,"CIN","NL",39,3,7,51,"CIN09",41307,"000000030","01102012x",32,4,1,0,1,3,0,0,0,2,0,5,0,0,1,0,4,3,7,7,1,0,24,15,1,0,1,0,32,12,1,0,3,6,1,1,0,4,2,1,1,0,1,0,7,3,0,0,0,0,27,8,2,0,1,0,"cuetj001","Johnny Cueto","mcclk001","Kyle McClellan","","(none)","mcclk001","Kyle McClellan","cuetj001","Johnny Cueto",
"20110515","SLN","NL",41,"CIN","NL",40,7,9,51,"CIN09",24672,"020000005","00120141x",35,9,3,0,2,7,0,0,1,5,0,5,0,0,1,0,7,3,8,8,0,0,24,12,2,0,1,0,34,11,2,1,2,8,1,0,0,3,1,5,0,0,1,0,5,6,7,7,0,0,27,10,1,0,2,0,"woodt004","Travis Wood","carpc002","Chris Carpenter","cordf002","Francisco Cordero","carpc002","Chris Carpenter","woodt004","Travis Wood",
"20110516","CHN","NL",39,"CIN","NL",41,4,7,51,"CIN09",16981,"000022000","00000700x",35,9,1,0,1,3,0,0,0,3,0,4,0,0,1,0,7,5,7,7,1,0,24,5,0,0,1,0,31,8,2,0,1,6,0,0,0,6,0,7,0,0,1,0,6,4,3,3,0,0,27,14,1,0,1,0,"bailh001","Homer Bailey","zambc001","Carlos Zambrano","cordf002","Francisco Cordero","zambc001","Carlos Zambrano","bailh001","Homer Bailey",
