Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100428","PIT","NL",21,"MIL","NL",21,6,5,84,"MIL06",28401,"30000000110001","30010000010000",54,13,1,0,4,6,0,0,1,5,1,19,1,0,0,0,12,5,5,5,1,0,42,13,0,0,1,0,49,10,2,0,2,4,0,0,0,8,1,13,1,0,1,0,10,7,6,6,1,0,42,7,0,0,1,0,"carrd001","D.J. Carrasco","parrm001","Manny Parra","","(none)","mahop002","Paul Maholm","narvc001","Chris Narveson",
"20100429","MIL","NL",22,"SDN","NL",22,0,9,51,"SAN02",16696,"000000000","00045000x",34,9,4,0,0,0,0,0,0,1,0,8,0,0,1,0,8,2,8,8,0,0,24,7,2,0,2,0,36,13,0,0,0,8,0,0,1,2,0,9,0,0,2,0,6,2,0,0,1,0,27,10,1,0,1,0,"leblw001","Wade LeBlanc","david002","Doug Davis","","(none)","david002","Doug Davis","leblw001","Wade LeBlanc",
"20100430","MIL","NL",23,"SDN","NL",23,0,3,51,"SAN02",29366,"000000000","00100020x",33,6,0,0,0,0,0,0,0,3,0,13,1,0,0,0,9,2,3,3,1,0,24,10,0,0,1,0,27,6,1,0,1,3,1,1,0,5,1,5,2,1,0,0,7,4,0,0,0,0,27,9,1,0,0,0,"richc002","Clayton Richard","bushd001","David Bush","bellh001","Heath Bell","bushd001","David Bush","richc002","Clayton Richard",
"20100501","MIL","NL",24,"SDN","NL",24,2,1,54,"SAN02",25619,"001010000","001000000",36,9,1,0,2,2,0,0,0,5,1,8,0,0,0,0,12,3,1,1,0,0,27,7,0,0,0,0,33,7,1,0,0,1,0,0,0,2,0,14,0,0,0,0,7,4,2,2,0,1,27,10,0,0,0,0,"gally001","Yovani Gallardo","latom001","Mat Latos","hofft001","Trevor Hoffman","gally001","Yovani Gallardo","latom001","Mat Latos",
"20100502","MIL","NL",25,"SDN","NL",25,0,8,51,"SAN02",20074,"000000000","00202013x",29,3,0,0,0,0,0,0,0,8,0,5,0,0,0,0,10,5,7,7,0,0,24,10,2,0,0,0,33,10,0,1,2,7,1,0,0,9,2,7,4,0,0,0,11,3,0,0,1,0,27,12,0,0,0,0,"garlj001","Jon Garland","wolfr001","Randy Wolf","","(none)","wolfr001","Randy Wolf","garlj001","Jon Garland",
"20100504","MIL","NL",26,"LAN","NL",26,11,6,54,"LOS03",50714,"090100010","000021030",41,15,2,1,2,11,0,0,2,3,0,7,0,0,1,0,8,4,6,6,0,0,27,9,0,0,0,0,32,7,2,0,1,6,0,2,0,2,0,6,0,0,0,0,3,4,11,11,1,0,27,12,0,0,1,0,"narvc001","Chris Narveson","kersc001","Clayton Kershaw","","(none)","narvc001","Chris Narveson","kersc001","Clayton Kershaw",
"20100505","MIL","NL",27,"LAN","NL",27,11,3,54,"LOS03",35659,"400000052","200001000",39,13,2,1,0,10,1,0,1,7,1,5,1,1,0,0,10,5,3,3,2,0,27,12,0,0,2,0,37,12,0,0,0,3,0,0,1,4,1,9,0,0,2,0,12,4,11,11,0,0,27,11,2,1,1,0,"david002","Doug Davis","billc001","Chad Billingsley","","(none)","david002","Doug Davis","billc001","Chad Billingsley",
"20100506","MIL","NL",28,"LAN","NL",28,3,7,52,"LOS03",38456,"000000102","120000004",35,8,0,0,0,3,0,0,0,0,0,12,1,0,0,0,5,4,5,5,1,0,25,9,1,0,2,0,31,8,2,0,1,6,0,1,0,7,0,7,1,0,2,0,7,4,3,3,1,0,27,6,0,0,0,0,"broxj001","Jonathan Broxton","hawkl001","LaTroy Hawkins","","(none)","bushd001","David Bush","ely-j001","John Ely",
"20100507","MIL","NL",29,"ARI","NL",30,3,2,54,"PHO01",27067,"001110000","002000000",31,6,2,0,2,2,0,0,0,4,0,8,0,0,1,0,5,4,2,2,0,0,27,9,0,0,1,0,28,4,0,0,1,2,1,0,0,6,0,11,0,1,1,0,6,3,3,3,1,0,27,13,0,0,1,0,"gally001","Yovani Gallardo","jacke001","Edwin Jackson","hofft001","Trevor Hoffman","gally001","Yovani Gallardo","jacke001","Edwin Jackson",
"20100508","MIL","NL",30,"ARI","NL",31,17,3,54,"PHO01",26877,"014061104","200001000",46,17,4,1,2,16,0,0,0,7,0,11,0,0,0,0,9,3,3,3,0,0,27,8,1,0,2,0,32,6,2,0,1,3,0,0,0,4,0,8,0,0,2,0,6,6,12,12,0,0,27,8,2,2,0,0,"wolfr001","Randy Wolf","valdc003","Cesar Valdez","","(none)","wolfr001","Randy Wolf","valdc003","Cesar Valdez",
