Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20180501","SDN","NL",31,"SFN","NL",30,3,2,54,"SFO03",36735,"100100001","000010100",29,5,0,1,2,3,0,0,0,1,0,6,0,0,3,0,0,4,2,2,2,0,27,8,0,0,0,0,33,6,2,0,0,2,0,0,0,5,0,10,1,0,0,0,9,3,3,3,0,0,27,9,0,0,3,0,"yatek001","Kirby Yates","strih001","Hunter Strickland","handb001","Brad Hand","rosst001","Tyson Ross","suara002","Andrew Suarez",
"20180502","SDN","NL",32,"SFN","NL",31,4,9,51,"SFO03",36475,"002010001","30220200x",34,8,1,0,1,4,1,0,0,4,0,9,0,0,0,0,8,4,8,8,1,0,24,6,1,1,0,0,38,14,5,0,1,9,0,1,1,4,0,8,0,0,0,0,11,6,4,4,0,0,27,12,1,0,0,0,"holld003","Derek Holland","richc002","Clayton Richard","","(none)","richc002","Clayton Richard","holld003","Derek Holland",
"20180504","SFN","NL",32,"ATL","NL",31,9,4,54,"ATL03",41807,"060000201","201000100",39,13,2,1,2,9,0,0,0,4,0,7,0,0,1,0,7,4,3,3,0,0,27,9,2,0,2,0,32,8,1,0,2,4,0,1,0,3,0,8,0,0,2,0,5,4,9,9,0,0,27,10,0,0,1,0,"strac001","Chris Stratton","foltm001","Mike Foltynewicz","","(none)","strac001","Chris Stratton","foltm001","Mike Foltynewicz",
"20180505","SFN","NL",33,"ATL","NL",32,11,2,54,"ATL03",38264,"024310001","101000000",42,18,4,0,1,11,1,0,1,2,0,8,0,0,1,0,8,4,1,1,0,0,27,15,3,0,2,0,34,7,2,0,0,2,0,0,0,2,0,2,0,0,1,0,7,5,11,11,0,0,27,13,1,0,1,0,"blact002","Ty Blach","mccab001","Brandon McCarthy","","(none)","blact002","Ty Blach","mccab001","Brandon McCarthy",
"20180506","SFN","NL",34,"ATL","NL",33,4,3,54,"ATL03",37896,"002200000","100000002",34,10,2,0,0,4,1,1,0,5,1,8,1,0,2,0,10,5,2,2,1,0,27,9,2,0,3,0,35,9,1,0,0,3,0,0,0,2,0,7,0,0,3,0,7,6,4,4,0,0,27,9,0,0,2,0,"suara002","Andrew Suarez","sorom001","Mike Soroka","strih001","Hunter Strickland","suara002","Andrew Suarez","sorom001","Mike Soroka",
"20180507","SFN","NL",35,"PHI","NL",34,0,11,51,"PHI13",17050,"000000000","30023201x",32,6,1,0,0,0,0,0,0,4,0,12,0,0,1,0,9,4,10,10,0,0,24,6,3,0,0,0,38,12,1,0,4,11,0,0,0,4,0,6,2,0,0,0,7,4,0,0,0,0,27,4,0,0,1,0,"efliz001","Zach Eflin","samaj001","Jeff Samardzija","","(none)","samaj001","Jeff Samardzija","efliz001","Zach Eflin",
"20180508","SFN","NL",36,"PHI","NL",35,2,4,51,"PHI13",22456,"010000010","01200100x",32,6,1,0,1,2,0,0,0,1,0,17,1,0,0,0,4,3,4,4,0,0,24,8,1,0,2,0,30,8,1,0,3,4,0,0,1,3,0,6,1,0,2,0,6,4,2,2,0,0,27,7,0,0,0,0,"nolaa001","Aaron Nola","holld003","Derek Holland","nerih001","Hector Neris","holld003","Derek Holland","nolaa001","Aaron Nola",
"20180509","SFN","NL",37,"PHI","NL",36,3,11,51,"PHI13",18448,"000001002","20012600x",34,9,2,0,0,3,0,1,0,3,0,11,0,0,1,0,8,3,11,11,3,0,24,6,2,0,0,0,33,10,2,0,1,9,0,1,0,7,0,9,0,1,0,0,6,4,3,3,0,0,27,6,0,0,1,0,"piven001","Nick Pivetta","strac001","Chris Stratton","","(none)","strac001","Chris Stratton","piven001","Nick Pivetta",
"20180510","SFN","NL",38,"PHI","NL",37,3,6,51,"PHI13",30204,"120000000","00041010x",32,5,1,0,2,3,0,0,0,1,0,15,0,0,0,0,3,5,6,6,0,0,24,8,0,1,1,0,34,11,1,1,1,6,0,0,0,3,0,9,0,0,1,0,7,4,3,3,0,0,27,5,0,0,0,0,"velav001","Vincent Velasquez","blact002","Ty Blach","nerih001","Hector Neris","blact002","Ty Blach","velav001","Vincent Velasquez",
"20180511","SFN","NL",39,"PIT","NL",38,2,11,51,"PIT08",34720,"000200000","20030123x",36,9,2,0,0,2,0,0,1,4,0,14,1,0,1,0,12,6,11,11,0,0,24,8,0,0,0,0,36,15,3,1,4,11,1,0,0,3,0,9,0,1,0,0,5,7,2,2,0,0,27,6,2,0,1,0,"braus002","Steven Brault","suara002","Andrew Suarez","","(none)","suara002","Andrew Suarez","tailj001","Jameson Taillon",
"20180512","SFN","NL",40,"PIT","NL",39,5,6,51,"PIT08",27502,"021000110","20100201x",35,10,4,0,2,5,0,1,0,5,0,8,0,1,0,0,9,3,6,6,0,0,24,8,0,0,1,0,29,8,1,0,2,6,1,1,2,4,1,9,2,1,0,0,7,4,5,5,0,0,27,11,0,0,1,0,"rivef001","Felipe Vazquez","watst001","Tony Watson","","(none)","samaj001","Jeff Samardzija","kuhlc001","Chad Kuhl",
"20180513","SFN","NL",41,"PIT","NL",40,5,0,54,"PIT08",22649,"000005000","000000000",39,13,3,0,2,5,0,0,0,1,0,7,0,0,1,0,8,4,0,0,1,0,27,8,0,0,1,0,33,7,4,0,0,0,0,0,0,5,1,11,0,0,1,0,11,3,5,5,0,0,27,9,0,0,1,0,"holld003","Derek Holland","novai001","Ivan Nova","","(none)","holld003","Derek Holland","novai001","Ivan Nova",
