team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
39,May 17,1,COL,"W,4-2",11.0,8,2,2,0,4,10,0,0,4.33,43,188,120,3,1,0,0,39,1,0,0,0,0,0,1,4,Jim Wolf,"R.Wells (5-58), J.Grabow (1-H), C.Marmol (0-BSv), S.Marshall (0-W)"
40,May 18,1,COL,"W,6-2",9.0,7,2,2,0,2,8,1,0,4.27,34,136,90,1,0,1,0,32,1,0,0,0,0,0,2,5,Todd Tichenor,"C.Silva (5-55-W), E.Caridad (3), J.Russell (3-H), S.Marshall (0-H), C.Zambrano (3)"
41,May 19,@,PHI,"W,4-1",9.0,5,1,1,0,3,8,0,2,4.19,37,146,89,2,0,1,0,32,1,0,0,0,0,0,0,4,Paul Emmel,"T.Gorzelanny (4-71-W), J.Grabow (1-H), C.Zambrano (0-H), C.Marmol (1-Sv)"
42,May 20,@,PHI,"L,4-5",8.0,7,5,5,0,4,3,2,0,4.22,34,127,79,1,0,0,0,30,1,0,0,0,0,0,1,4,Bill Hohn,"R.Dempster (4-47), J.Russell (1), J.Stevens (99), J.Grabow (0-L)"
43,May 21,@,TEX,"L,1-2",8.0,7,2,2,0,3,4,0,0,4.18,34,124,87,2,0,3,0,30,3,0,0,1,0,0,0,2,Dan Iassogna,"T.Lilly (4-55-L), C.Zambrano (1)"
44,May 22,@,TEX,"W,5-4",10.0,9,4,4,0,3,8,2,0,4.16,40,139,94,0,0,0,0,37,1,0,1,0,0,0,1,3,Dale Scott,"R.Wells (4-62), S.Marshall (3-W), C.Marmol (2-Sv)"
45,May 23,@,TEX,"W,5-4",9.0,9,4,4,0,5,6,1,0,4.16,40,163,96,5,1,1,1,35,1,0,1,0,0,0,0,5,Jerry Meals,"C.Silva (4-44-W), J.Grabow (2-H), B.Howry (6-H), S.Marshall (0-H), C.Marmol (0-Sv)"
46,May 25,1,LAD,"W,3-0",9.0,3,0,0,0,1,9,0,0,4.07,31,115,72,0,0,1,0,30,0,0,0,0,0,0,0,2,James Hoye,"R.Dempster (4-82-W), C.Marmol (1-Sv)"
47,May 26,1,LAD,"L,5-8",9.0,10,8,6,2,3,8,1,0,4.11,42,166,103,2,1,0,0,37,4,1,0,2,0,2,1,4,Wally Bell,"T.Gorzelanny (6-31-L), B.Howry (2), J.Stevens (5), J.Russell (5)"
48,May 27,1,LAD,"W,1-0",9.0,5,0,0,0,4,9,0,0,4.02,36,145,92,0,0,0,0,31,0,0,1,1,0,0,0,3,Laz Diaz,"T.Lilly (5-73), S.Marshall (3-W), C.Marmol (1-Sv)"
49,May 28,1,STL,"L,1-7",9.0,11,7,7,0,2,4,1,0,4.08,40,144,90,1,0,1,0,38,3,0,0,0,0,0,0,6,Mike Winters,"R.Wells (5-18-L), J.Russell (1), B.Howry (1), J.Stevens (1), C.Zambrano (6), J.Grabow (4)"
50,May 29,1,STL,"W,5-0",9.0,4,0,0,0,1,12,0,0,4.00,31,133,87,2,0,0,0,30,1,0,0,0,0,1,2,4,Hunter Wendelstedt,"C.Silva (5-84-W), S.Marshall (1), C.Zambrano (0-H), J.Stevens (0)"
51,May 30,1,STL,"L,1-9",9.0,14,9,9,0,3,9,4,0,4.10,43,174,112,2,1,2,0,40,1,0,1,0,0,0,1,3,Mike Estabrook,"R.Dempster (4-36-L), B.Howry (1), J.Grabow (1)"
52,May 31,@,PIT,"L,1-2",8.0,7,2,2,0,4,4,1,0,4.07,35,141,80,3,0,0,0,31,1,0,1,0,0,0,0,6,Andy Fletcher,"R.Wells (2-61), J.Russell (2-BSv), J.Stevens (1), B.Howry (0), S.Marshall (1-L), A.Cashner (99)"
53,Jun 1,@,PIT,"L,2-3",8.0,6,3,3,0,4,7,2,0,4.06,32,115,71,1,0,2,0,28,1,0,0,0,0,0,1,2,Tim McClelland,"T.Lilly (4-57-L), C.Marmol (4)"
54,Jun 4,@,HOU,"L,1-3",8.0,9,3,3,0,5,7,0,0,4.04,36,147,84,5,1,2,0,31,3,1,1,0,0,0,1,6,Bill Miller,"C.Zambrano (5-39-L), T.Gorzelanny (8), J.Stevens (3), A.Cashner (3), B.Howry (3), C.Marmol (2)"
55,Jun 5,@,HOU,"W,8-5",9.0,8,5,3,2,2,9,2,0,4.02,37,147,96,2,1,1,0,35,1,0,0,0,0,0,1,4,Chad Fairchild,"R.Dempster (5-54-W), S.Marshall (4-H), J.Stevens (0), C.Marmol (0-Sv)"
